class,hotelname,PARK,location,SEASON,daterange,singlerate,doubleRate,tripleRate,,
4,The Singing grass serengeti Bush camp,Serengeti,Serengeti,High,"01 Jun-30 Jun, 1 Sep -31 Oct, 1 Dec-15 Dec, 16 Jan-29 Feb",430.88,629.76,871.64,,
4,The Singing grass serengeti Bush camp,Serengeti,Serengeti,Low,"Mar 01 - May 31, Nov 01 – 30 Nov",394.88,569.76,799.64,,
4,Lahia tented lodge - Premium (Tents),Serengeti,Serengeti,Peak,"01 Jan - 31 Mar, 01 Jun - 31 Oct, 16 Dec - 31 Dec",530.88,775.76,1032.64,,
4,Lahia tented lodge - Premium (Tents),Serengeti,Serengeti,High,01 Nov - 15 Dec,458.88,679.76,909.64,,
4,Lahia tented lodge - Premium (Tents),Serengeti,Serengeti,Low,01 Apr - 31 may,385.88,581.76,783.64,,
5,Ole Serai Luxury Camp - Moru Kopjes,Serengeti,Serengeti,Peak,"1 Jul - 31 Oct, 20 Dec- 31 Dec",781.88,1037.76,1469.04,,
5,Ole Serai Luxury Camp - Moru Kopjes,Serengeti,Serengeti,High,"Jan- Mar, Jun. ",710.88,949.76,1345.84,,
5,Ole Serai Luxury Camp - Moru Kopjes,Serengeti,Serengeti,Shoulder              ,1 Nov - 19 Dec,710.88,949.76,1345.84,,
5,Ole Serai Luxury Camp - Moru Kopjes,Serengeti,Serengeti,Low,Apr - May,499.88,685.76,976.24,,
5,Ole Serai Luxury Camp - Turner Springs,Serengeti,Serengeti,Peak,"1 Jul - 31 Oct, 20 Dec- 31 Dec",886.88,1169.76,1653.84,,
5,Ole Serai Luxury Camp - Turner Springs,Serengeti,Serengeti,High,"Jan- Mar, Jun. ",816.88,1081.76,1530.64,,
5,Ole Serai Luxury Camp - Turner Springs,Serengeti,Serengeti,Shoulder              ,1 Nov - 19 Dec,816.88,1081.76,1530.64,,
5,Ole Serai Luxury Camp - Turner Springs,Serengeti,Serengeti,Low,Apr - May,570.88,773.76,1099.44,,
5,Melia Serengeti Lodge (Lagoon View),Serengeti,Serengeti,Peak,"1 Jun- Aug, 22 Dec- 3 Jan",872.88,1290.76,1765.89,,
5,Melia Serengeti Lodge (Lagoon View),Serengeti,Serengeti,High ,"Jan-Feb, Sep - Oct",717.88,1070.76,1468.89,,
5,Melia Serengeti Lodge (Lagoon View),Serengeti,Serengeti,Shoulder              ,1 Nov- 21 Dec,502.88,735.76,1016.64,,
5,Melia Serengeti Lodge (Lagoon View),Serengeti,Serengeti,Low,"Mar - May, ",482.88,735.76,1016.64,,
6,Four Seasons Safari Lodge (Horizon Room),Serengeti,Serengeti,Peak,"Jan - Feb, Jun - Oct, 16 Dec - 31 Dec",1192.88,1540.76,2068.64,,
6,Four Seasons Safari Lodge (Horizon Room),Serengeti,Serengeti,Shoulder              ,1 Nov - 15 Dec,912.88,1260.76,1788.64,,
6,Four Seasons Safari Lodge (Horizon Room),Serengeti,Serengeti,Low,Mar - May,632.88,980.76,1508.64,,
1,Sero tented camp,North Serengeti,North Serengeti,Peak,1 Jun - 31 Oct,242.88,445.76,633.64,,
1,"Heritage Camp, Kogatende",North Serengeti,North Serengeti,Peak,01 Jun- 31 Oct,237.88,455.76,653.64,,
1,Kon Tiki Mobile Camp,North Serengeti,North Serengeti,Peak,1 Jun - 30 Nov,257.88,455.76,623.64,,
2,Mara Kati Kati Camp - Adventure (Tent),North Serengeti,North Serengeti,Peak,1 Jun - Oct,355.88,535.76,720.64,,
2,"Tanzania Bush Camps,north",North Serengeti,North Serengeti,Peak,"June, July, Aug, Sept, Oct ",297.88,515.76,743.64,,
2,"Pure Migration Camp - Kogatende , Sense of wilderness",North Serengeti,North Serengeti,Peak,15 Jun - 31 Oct,282.88,515.76,746.64,,
3,Angata Migration Camp,North Serengeti,North Serengeti,Peak,01 July - 30 Oct,355.88,563.76,676.64,,
3,Acacia Migration Camp,North Serengeti,North Serengeti,Peak,1 Jun - 30 Oct,353.88,611.76,845.64,,
4,"Nyikani Migration Camp, Kogatende",North Serengeti,North Serengeti,Peak,1 Jul-30 Sep ,477.88,695.76,1043.64,,
4,"Nyikani Migration Camp, Kogatende",North Serengeti,North Serengeti,Shoulder              ,1 Oct-14 Nov ,272.88,545.76,818.64,,
4,"Nyikani Migration Camp, Kogatende",North Serengeti,North Serengeti,Low,01 Jun-30 Jun,237.88,475.76,713.64,,
4,Esirai Migraton Camp,North Serengeti,North Serengeti,Peak,Jun - Oct,540.88,761.76,1142.64,,
5,Mara Under Canvas Camp - Premium (Tent),North Serengeti,North Serengeti,Peak,Jun - Oct,642.88,923.76,1221.64,,
5,Malaika Mara River Camp,North Serengeti,North Serengeti,Peak,Jun - Oct,465.88,847.76,1169.64,,
5,Nasikia Migration Camp,North Serengeti,North Serengeti,Peak,01 Jun – 31 Oct,457.88,823.76,1211.64,,
6,Mara Mara Tented Lodge - Premium (Tents),North Serengeti,North Serengeti,Peak,"01 Jul – 31 Oct,  01 Dec – 31 Dec",902.88,1269.76,1662.64,,
6,Mara Mara Tented Lodge - Premium (Tents),North Serengeti,North Serengeti,Low,"1 Jun – 30 Jun,  1 Nov - 30 Nov",512.88,751.76,1002.64,,
6,Ole Serai Luxury Camp - Kogatende,North Serengeti,North Serengeti,Peak ,"1 Jul - 31 Oct, 20 Dec - 31 Dec",1133.88,1477.76,2085.04,,
6,Ole Serai Luxury Camp - Kogatende,North Serengeti,North Serengeti,Shoulder              ,"Jun, 1 Nov - 19 Dec",1010.88,1323.76,1869.44,,
6,Ole Serai Luxury Camp - Kogatende,North Serengeti,North Serengeti,High,Jan - Mar,605.88,817.76,1161.04,,
6,Kaskaz Mara Camp,North Serengeti,North Serengeti,Peak,Jun - Oct,710.88,1265.76,1853.64,,
6,Kaskaz Mara Camp,North Serengeti,North Serengeti,Low,"Jan - May, 1 Nov - 31 Dec",342.88,681.76,977.64,,
1,"Sero tented camp, Ndutu",Ndutu,Ndutu,Peak,Dec - Mar,242.88,445.76,633.64,,
1,"Heritage Camp, Ndutu",Ndutu,Ndutu,Peak,15 Dec - 31 Mar,237.88,455.76,653.64,,
1,"Kon Tiki Mobile Camp, Ndutu",Ndutu,Ndutu,Peak,1 Dec - 31 Mar,257.88,455.76,623.64,,
